id;razdel;user;user_id;name;stat;treg;kols;last;lreg
10;10;admin;1;Новости сервиса OrochiPlay;1;1476506174;0;admin;1476506174
20;10;admin;1;Общие вопросы;1;1476506774;0;admin;1476506174
30;10;admin;1;Оплата;1;1471506174;0;admin;1476506174
40;10;admin;1;Продажа лицензионных ключей Steam, Uplay, Origin, Battle.net;1;1471506174;0;admin;1476506174
50;10;admin;1;Отзывы;1;1471506174;0;admin;1476506174
60;10;admin;1;Предложения по развитию;1;1471506174;0;admin;1476506174
70;20;admin;1;Counter-Strike: Global Offensive;1;1476503174;0;admin;1476506174
80;20;admin;1;Minecraft;1;1476506274;0;admin;1476506174
90;20;admin;1;Rust (Default);1;1476506274;0;admin;1476506174
100;30;admin;1;Новости мира игр;1;1476506274;0;admin;1476506174
110;30;admin;1;Игровая музыка;1;1476506274;0;admin;1476506174
120;30;admin;1;Медиа ссылки;1;1476506274;0;admin;1476506174
130;30;admin;1;Курилка;1;1476506274;0;admin;1476506174